Neon + Tile test f32: Loop-5, M-128, P-128, N-128
Correct
  Ti   Tj   Tk   Time
  24  128   32   0.00173592 recorded
  24  128   48   0.00218844
  24  128   64   0.00254393
  24  128   80   0.00249441
  24  128   96   0.00256345
  24  128  112   0.00271876
  24  128  128   0.00277399
  28   16    0   0.00278532
  28   16   16   0.00197377
  28   16   32   0.00189375
  28   16   48   0.00230955
  28   16   64   0.00262726
  28   16   80   0.00258914
  28   16   96   0.00265149
  28   16  112   0.00279372
  28   16  128   0.00281867
  28   32    0   0.00278584
  28   32   16   0.00185281
  28   32   32   0.00183269 recorded
  28   32   48   0.00226628
  28   32   64   0.00260316
  28   32   80   0.00255118
  28   32   96   0.00261412
  28   32  112   0.00276111
  28   32  128   0.00280457
  28   48    0   0.0027842
  28   48   16   0.001826 recorded
  28   48   32   0.00179767 recorded
  28   48   48   0.00224834
  28   48   64   0.00258795
  28   48   80   0.00253475
  28   48   96   0.00260472
  28   48  112   0.00275178
  28   48  128   0.00279461
  28   64    0   0.00278299
  28   64   16   0.00181431 recorded
  28   64   32   0.00177548 recorded
  28   64   48   0.0022203
  28   64   64   0.00256856
  28   64   80   0.00252095
  28   64   96   0.00258385
  28   64  112   0.00274091
  28   64  128   0.00278934
  28   80    0   0.00277743
  28   80   16   0.00180898 recorded
  28   80   32   0.00176738 recorded
  28   80   48   0.0022233
  28   80   64   0.00257189
  28   80   80   0.00251779
  28   80   96   0.00258833
  28   80  112   0.00273834
  28   80  128   0.00278538
  28   96    0   0.00277982
  28   96   16   0.00180527 recorded
  28   96   32   0.00177569 recorded
  28   96   48   0.00222482
  28   96   64   0.00257801
  28   96   80   0.00252362
  28   96   96   0.00258956
  28   96  112   0.00274261
  28   96  128   0.00279082
  28  112    0   0.00278059
  28  112   16   0.00181285 recorded
  28  112   32   0.00176717 recorded
  28  112   48   0.00222407
  28  112   64   0.0025641
  28  112   80   0.00251987
  28  112   96   0.00259422
  28  112  112   0.00274091
  28  112  128   0.00279057
  28  128    0   0.00277711
  28  128   16   0.0017525 recorded
  28  128   32   0.00172634 recorded
  28  128   48   0.00218463
  28  128   64   0.00253812
  28  128   80   0.00248971
  28  128   96   0.00256193
  28  128  112   0.00271841
  28  128  128   0.00277347
  32   16    0   0.00278555
  32   16   16   0.00199274
  32   16   32   0.00188875
  32   16   48   0.00230669
  32   16   64   0.00262174
  32   16   80   0.00259151
  32   16   96   0.00265224
  32   16  112   0.00279584
  32   16  128   0.00282044
  32   32    0   0.00278701
  32   32   16   0.00184302
  32   32   32   0.00182202 recorded
  32   32   48   0.0022603
  32   32   64   0.00260045
  32   32   80   0.00254787
  32   32   96   0.00261397
  32   32  112   0.00276151
  32   32  128   0.00280557
  32   48    0   0.00277867
  32   48   16   0.0018186 recorded
  32   48   32   0.001787 recorded
  32   48   48   0.00224405
  32   48   64   0.00258431
  32   48   80   0.00253052
  32   48   96   0.00260416
  32   48  112   0.00275211
  32   48  128   0.00279307
  32   64    0   0.00278353
  32   64   16   0.0018059 recorded
  32   64   32   0.00176781 recorded
  32   64   48   0.0022158
  32   64   64   0.00256654
  32   64   80   0.00251714
  32   64   96   0.00258237
  32   64  112   0.00274016
  32   64  128   0.00278782
  32   80    0   0.00277528
  32   80   16   0.0017996 recorded
  32   80   32   0.00175967 recorded
  32   80   48   0.00221869
  32   80   64   0.0025592
  32   80   80   0.00251629
  32   80   96   0.0025866
  32   80  112   0.00273524
  32   80  128   0.00278822
  32   96    0   0.00278042
  32   96   16   0.00179585 recorded
  32   96   32   0.00176584 recorded
  32   96   48   0.00222034
  32   96   64   0.00256662
  32   96   80   0.00252083
  32   96   96   0.00258876
  32   96  112   0.00274295
  32   96  128   0.00279036
  32  112    0   0.00277847
  32  112   16   0.00180373 recorded
  32  112   32   0.00175744 recorded
  32  112   48   0.0022194
  32  112   64   0.00256527
  32  112   80   0.00251902
  32  112   96   0.00259241
  32  112  112   0.00274138
  32  112  128   0.0027897
  32  128    0   0.00278086
  32  128   16   0.00174686 recorded
  32  128   32   0.00171927 recorded
  32  128   48   0.00217982
  32  128   64   0.00253431
  32  128   80   0.00248439
  32  128   96   0.00256337
  32  128  112   0.00271924
  32  128  128   0.00277042
  36   16    0   0.00278626
  36   16   16   0.00195947
  36   16   32   0.00188033
  36   16   48   0.00230115
  36   16   64   0.00261954
  36   16   80   0.0025887
  36   16   96   0.00265035
  36   16  112   0.00279224
  36   16  128   0.00282303
  36   32    0   0.00278547
  36   32   16   0.00184446
  36   32   32   0.00182367
